frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,40
1,0,0,0,0,0,40
2,0,0,0,0,0,40
3,0,0,0,0,0,40
4,0,0,0,0,0,40
5,0,0,0,0,0,40
6,0,0,0,0,0,40
7,0,0,0,0,0,40
8,0,0,0,0,0,40
9,0,78.8111,435,291,74.0194,40
10,5.01026,77.6404,453,288,75.0972,40
11,5.81235,80.5735,447,288,72.455,40
12,3.37398,78.4054,435,291,74.3894,40
13,4.89384,64.2373,407,294,90.1823,40
14,0,0,0,0,0,40
15,0,0,0,0,0,40
16,0,0,0,0,0,40
17,0,0,0,0,0,40
18,0,0,0,0,0,40
19,0,0,0,0,0,40
20,0,0,0,0,0,40
21,0,0,0,0,0,40
22,0,0,0,0,0,40
23,0,0,0,0,0,40
24,0,0,0,0,0,40
25,0,0,0,0,0,40
26,0,0,0,0,0,40
27,0,0,0,0,0,40
28,0,0,0,0,0,40
29,0,0,0,0,0,40
30,0,0,0,0,0,40
31,25.2461,66.6455,257,327,87.0326,40
32,24.8129,64.9347,242,326,89.2466,40
33,27.5492,62.9746,222,328,91.9283,40
34,30.9215,88.8075,198,326,65.9554,40
35,35.418,96.0695,157,323,61.1332,40
36,37.4892,107.239,141,323,54.9715,40
37,46.2207,97.2534,123,326,60.4142,40
38,41.9006,79.0398,107,327,73.8126,40
39,32.0271,78.3222,102,327,74.4657,40
40,23.1854,87.5619,109,327,66.8614,40
41,26.1356,96.8297,93,329,60.6695,40
42,27.5932,111.393,80,330,52.9898,40
43,6.3184,109.19,70,330,54.0223,40
44,0,0,0,0,0,40
45,0,0,0,0,0,40
46,0,0,0,0,0,40
47,3.19096,59.1142,274,321,97.7209,40
48,10.5529,61.5671,246,320,93.9575,40
49,5.36008,66.4622,217,322,87.2645,40
50,3.18493,108.846,194,322,54.1871,40
51,6.45796,114.086,157,321,51.7812,40
52,11.3691,120.528,142,317,49.1057,40
53,9.53817,120.645,121,320,49.0596,40
54,2.68341,109.166,102,319,54.0337,40
55,0,0,0,0,0,40
56,0,0,0,0,0,40
57,0,0,0,0,0,40
58,6.02729,84.2758,272,313,69.3781,40
59,23.4141,91.3903,254,316,64.154,40
60,26.8292,91.2131,236,319,64.2744,40
61,16.7262,118.018,206,322,50.1139,40
62,14.138,123.531,148,322,47.9518,40
63,5.32885,128.334,129,320,46.2172,40
64,0,0,0,0,0,40
65,0,0,0,0,0,40
66,0,0,0,0,0,40
67,0,0,0,0,0,40
68,0,0,0,0,0,40
69,0,0,0,0,0,40
70,0,0,0,0,0,40
71,0,0,0,0,0,40
72,0,0,0,0,0,40
73,0,0,0,0,0,40
74,0,0,0,0,0,40
75,0,0,0,0,0,40
76,0,0,0,0,0,40
77,0,0,0,0,0,40
78,0,0,0,0,0,40
79,0,0,0,0,0,40
80,0,0,0,0,0,40
81,15.5081,72.8773,134,321,79.8331,40
82,20.64,80.7956,125,323,72.2626,40
83,21.7616,77.4549,105,324,75.271,40
84,0,0,0,0,0,40
85,0,0,0,0,0,40
86,0,0,0,0,0,40
87,0,0,0,0,0,40
88,0,0,0,0,0,40
89,0,0,0,0,0,40
90,0,0,0,0,0,40
91,0,0,0,0,0,40
92,0,0,0,0,0,40
93,0,0,0,0,0,40
94,0,0,0,0,0,40
95,0,0,0,0,0,40
96,23.3385,52.1625,240,324,110.273,40
97,0,0,0,0,0,40
98,0,0,0,0,0,40
99,0,0,0,0,0,40
100,0,0,0,0,0,40
101,0,0,0,0,0,40
102,0,0,0,0,0,40
103,0,0,0,0,0,40
