frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,40
1,0,0,0,0,0,40
2,0,0,0,0,0,40
3,0,60.8209,339,336,95.0708,40
4,0.202275,61.613,342,337,93.89,40
5,0.179821,62.254,340,337,92.9559,40
6,0.137972,59.8862,338,336,96.5037,40
7,0.186544,61.5988,340,337,93.9108,40
8,0.181985,62.502,339,337,92.5997,40
9,0.140314,61.8748,340,337,93.5062,40
10,0.26044,61.4446,342,337,94.1384,40
11,0.173644,61.5502,339,337,93.9825,40
12,0.227035,62.0557,338,337,93.2429,40
13,0.30372,51.4195,339,337,111.812,40
14,0.148153,50.4242,394,332,113.943,40
15,0.631878,50.2706,399,332,114.279,40
16,0.231495,50.6834,400,332,113.38,40
17,0.124317,51.3462,397,332,111.966,40
18,0.0955743,49.4564,401,332,116.096,40
19,0.236519,49.0543,393,333,117.015,40
20,0.218631,49.7049,396,331,115.535,40
21,0.157709,49.9466,399,332,114.995,40
22,0.103039,48.69,398,332,117.861,40
23,0.321141,61.2825,395,332,94.379,40
24,0.454087,48.5966,338,337,118.079,40
25,0.285368,47.5614,395,332,120.561,40
26,0.329768,49.5634,393,332,115.854,40
27,0.0832867,49.3419,396,332,116.356,40
28,0.424327,48.4181,395,332,118.5,40
29,0.410178,52.595,393,332,109.397,40
30,0.177469,51.4842,394,333,111.676,40
31,0.155984,50.3988,395,333,113.998,40
32,0.208246,52.1018,393,332,110.397,40
33,0.271611,50.592,397,333,113.578,40
34,0.561618,52.232,394,333,110.131,40
35,0.166853,60.543,390,333,95.4923,40
36,0.0278733,61.1544,339,337,94.57,40
37,0.164397,60.2711,341,338,95.9084,40
38,0.201857,61.0769,339,338,94.6858,40
39,0.154539,57.939,339,337,99.6348,40
40,0.0745238,57.6672,341,338,100.088,40
41,0.196724,59.1068,339,338,97.7326,40
42,0.279875,57.7592,339,338,99.9343,40
43,0.433049,57.9629,339,339,99.5951,40
44,0.358236,58.9159,340,338,98.0385,40
45,0.373577,60.2438,340,338,95.9503,40
46,0.286265,59.303,340,338,97.4202,40
47,0.326799,59.0595,338,338,97.8082,40
48,0.324513,56.7584,341,338,101.636,40
49,0.314034,55.6852,340,338,103.527,40
50,0.30846,55.4783,342,338,103.9,40
51,0.416384,55.3616,341,338,104.112,40
52,0.226463,54.5319,340,338,105.641,40
53,0.358883,55.2077,343,339,104.392,40
54,0.297377,51.9165,344,338,110.778,40
55,0.338219,52.963,342,338,108.663,40
56,0.361299,53.7095,341,338,107.204,40
57,0.53722,53.3546,341,338,107.892,40
58,0.47303,51.0566,343,338,112.579,40
59,0.488303,51.2126,344,338,112.248,40
60,0.265791,50.4122,344,338,113.969,40
61,0.522319,51.4679,343,338,111.71,40
62,0.587337,55.0984,342,337,104.592,40
63,0.246718,46.0058,340,337,124.497,40
64,0.170765,50.7735,376,331,113.186,40
65,0.452789,43.9624,340,337,130.082,40
66,0.18104,45.1524,369,331,126.769,40
67,0.307279,47.9775,362,332,119.551,40
68,0.358565,46.2441,364,333,123.877,40
69,0.303872,47.8787,369,331,119.789,40
70,0.367705,49.6332,366,331,115.696,40
71,0.383398,50.7275,364,332,113.285,40
72,0.214908,52.2481,362,333,110.099,40
73,0.330667,46.8875,360,333,122.235,40
74,0.0356878,46.753,365,332,122.574,40
75,0.437721,46.5412,369,332,123.113,40
76,0.402037,46.0258,368,332,124.444,40
77,0.532962,48.8002,365,333,117.604,40
78,0.481586,46.2691,363,332,123.812,40
79,0.725663,45.6418,369,332,125.455,40
