frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,50
1,0,41.506,579,302,0,50
2,0.503976,38.9571,295,271,0,50
3,0.436422,38.3768,577,302,0,50
4,0.308451,36.8965,577,303,0,50
5,0.170851,39.3141,580,303,0,50
6,0.299675,36.9143,579,302,153.999,50
7,0.624371,38.7238,579,303,147.043,50
8,1.08134,37.9525,578,303,149.928,50
9,1.23873,41.382,582,302,137.909,50
10,1.04271,40.9397,293,270,139.348,50
11,0.727806,41.0524,290,271,138.978,50
12,0.395523,56.6551,295,272,101.815,50
13,0.391322,57.4401,1032,336,100.471,50
14,0.580514,38.613,1032,337,147.45,50
15,1.33538,40.8818,579,303,139.538,50
16,1.95821,34.4296,290,270,164.722,50
17,1.8837,37.1428,579,305,153.084,50
18,1.17024,34.4309,580,304,164.715,50
19,0.911008,33.2145,581,305,170.539,50
20,0.788299,35.3537,587,304,160.56,50
21,0.549203,29.2207,585,306,193.003,50
22,0.145677,30.3631,589,306,185.984,50
23,0.234332,32.5473,586,305,173.914,50
24,0.536792,32.7979,586,305,172.631,50
25,0.450136,30.6601,592,303,184.244,50
26,0.20656,31.27,593,306,180.772,50
27,0.203522,30.9078,589,306,182.817,50
28,0.600937,31.4335,587,307,179.863,50
29,0.883035,35.4429,594,306,160.17,50
30,0.69958,33.8397,595,304,167.494,50
31,0.395073,30.8688,595,306,183.041,50
32,0.266411,30.1637,596,305,187.172,50
33,0.990278,30.7547,596,306,183.696,50
34,1.22087,34.699,596,307,163.486,50
35,1.36869,31.076,591,305,181.862,50
36,1.23557,28.9531,593,306,194.726,50
37,0.650589,28.6382,592,308,196.794,50
38,0.532798,34.1777,592,307,165.894,50
39,0.81809,32.5872,591,306,173.709,50
40,1.01617,32.6479,593,306,173.397,50
41,0.623964,32.4218,592,307,174.564,50
42,0.266193,32.7424,594,307,172.913,50
43,0.465209,32.7905,596,306,172.668,50
44,0.631407,35.3613,595,306,160.527,50
45,1.37344,35.2047,591,306,161.217,50
46,2.20944,32.7737,591,306,172.754,50
47,2.06453,37.1728,586,307,152.965,50
48,1.2434,29.5769,296,266,190.758,50
49,1.15476,30.9141,585,307,182.782,50
50,0.582149,31.2561,581,308,180.849,50
51,0.671155,30.9719,582,309,182.452,50
52,0.675861,31.0469,584,309,182.026,50
53,0.43267,36.1121,585,309,157.302,50
54,0.368291,33.8241,582,308,167.569,50
55,0.723955,35.5469,587,310,159.718,50
56,1.19538,36.0346,585,310,157.629,50
57,1.0688,36.489,583,309,155.733,50
58,1.25785,36.7531,582,309,154.652,50
59,1.48348,36.2285,580,309,156.814,50
60,1.61271,36.5573,582,309,155.451,50
61,0.738674,34.3222,580,311,165.219,50
62,0.249712,38.1325,580,310,149.244,50
63,0.462925,40.2545,579,310,141.638,50
64,0.160377,34.0234,582,311,166.621,50
65,1.15486,33.1429,581,310,170.895,50
66,1.6309,36.7548,580,310,154.645,50
67,1.55594,37.2307,577,310,152.735,50
68,1.34333,36.3556,574,310,156.285,50
69,1.86701,38.0269,574,309,149.645,50
70,2.12215,37.7818,572,310,150.582,50
71,1.27041,37.4223,571,309,151.979,50
72,0.915042,39.9048,571,309,142.837,50
73,0.887424,39.5818,570,309,143.962,50
74,1.1189,39.7622,569,310,143.332,50
75,1.15428,46.3102,566,310,123.706,50
76,1.56448,42.3881,569,311,134.745,50
77,2.16947,44.7365,567,312,127.907,50
78,2.58487,43.9968,566,312,129.984,50
79,2.48241,43.2815,566,311,132.058,50
80,1.92798,42.8733,563,313,133.272,50
81,2.07058,43.0081,560,313,132.869,50
82,1.81364,43.5493,559,312,131.273,50
83,1.68561,43.8246,557,312,130.477,50
84,1.01098,55.3463,556,313,104.14,50
85,1.29124,48.1756,545,321,119.076,50
86,1.63599,57.6564,555,314,100.106,50
87,2.44203,55.6198,548,321,103.645,50
88,3.03344,58.3041,547,320,99.032,50
89,2.60062,53.524,544,319,107.562,50
90,2.48505,51.0706,542,318,112.55,50
91,2.56573,47.7808,541,318,120.026,50
92,2.69876,49.9854,538,319,114.909,50
93,1.81695,56.6978,539,319,101.741,50
94,0.968785,47.8706,537,318,119.809,50
95,1.51916,49.9986,290,272,114.88,50
96,1.16284,55.4295,300,273,103.989,50
97,2.265,53.2202,534,319,108.156,50
98,2.51727,52.9229,531,318,108.742,50
99,3.07434,50.7041,528,316,113.335,50
100,3.08356,51.5893,526,317,111.456,50
101,2.72542,55.7769,523,317,103.363,50
102,1.73988,57.1986,523,317,100.88,50
103,1.76126,60.0738,523,318,96.2126,50
104,2.35243,61.2766,522,319,94.3877,50
105,3.0583,62.4235,520,318,92.7121,50
106,3.07055,48.2188,520,319,118.973,50
107,0.170731,63.7912,298,270,90.7914,50
108,4.90802,59.714,512,320,96.7725,50
109,5.45061,59.8351,504,320,96.5833,50
110,5.23243,59.7167,499,321,96.7682,50
111,4.42135,60.8076,496,321,95.0909,50
112,4.99059,63.0529,493,322,91.8181,50
113,4.98992,61.3146,488,322,94.3313,50
114,4.9587,59.2817,483,323,97.4541,50
115,4.39866,59.6384,475,324,96.891,50
116,4.99525,61.6265,467,324,93.87,50
117,5.49187,61.3736,465,325,94.2436,50
118,5.91916,62.5461,456,325,92.5367,50
119,6.23735,60.5423,453,325,95.4933,50
120,7.05889,63.6285,446,324,91.0155,50
121,7.96834,64.8106,438,325,89.4116,50
122,8.29617,64.8335,432,325,89.3811,50
123,8.37082,65.4564,423,326,88.5593,50
124,8.42254,66.867,413,326,86.7542,50
125,9.12222,67.9377,404,326,85.433,50
126,9.48642,70.3449,397,325,82.6075,50
127,9.91058,40.8494,389,327,139.645,50
128,0.326889,44.3381,81,267,129.017,50
129,0.026865,43.6005,74,270,131.125,50
130,0.379259,44.6416,75,272,128.17,50
131,0.397739,91.8988,71,274,63.8111,50
132,12.8803,94.2956,349,337,62.2438,50
133,14.3712,94.5135,337,337,62.1051,50
134,15.0823,99.2755,325,337,59.2251,50
135,15.7601,101.283,304,338,58.0907,50
136,16.2485,102.214,294,339,57.5797,50
137,17.634,100.411,281,340,58.5778,50
138,19.3157,100.351,263,341,58.6117,50
139,20.9891,102.564,246,345,57.3897,50
140,21.8963,106.954,230,347,55.1129,50
141,23.0438,120.581,215,349,49.0848,50
142,24.6604,151.666,202,354,39.3306,50
143,28.6908,147.78,160,353,40.329,50
144,30.1275,148.929,142,354,40.0285,50
145,30.5801,149.437,141,354,39.8969,50
146,28.3232,148.487,130,358,40.1435,50
147,31.3063,150.285,114,361,39.6795,50
148,20.2115,152.284,102,362,39.1763,50
149,33.6988,135.323,88,362,43.9095,50
150,35.3362,119.504,70,362,49.5117,50
151,36.8364,53.4307,58,360,107.744,50
152,1.2297,51.1746,1048,339,112.329,50
