frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,40
1,0,0,0,0,0,40
2,0,0,0,0,0,40
3,0,0,0,0,0,40
4,0,0,0,0,0,40
5,0,0,0,0,0,40
6,0,0,0,0,0,40
7,0,0,0,0,0,40
8,0,0,0,0,0,40
9,0,0,0,0,0,40
10,0,0,0,0,0,40
11,0,0,0,0,0,40
12,0,0,0,0,0,40
13,0,62.376,1241,327,0,40
14,29.188,79.4892,1242,324,73.4094,40
15,29.7334,81.7056,1233,318,71.485,40
16,28.3785,83.8752,1219,318,69.6981,40
17,29.7545,88.292,1208,316,66.3273,40
18,22.3007,90.5701,1206,317,64.7151,40
19,25.1416,75.4182,1195,317,77.2336,40
20,8.68593,81.514,1171,318,71.6473,40
21,4.26935,100.232,1141,313,58.6794,40
22,2.24307,109.555,1090,313,53.8484,40
23,0.902327,92.6393,1064,310,63.3183,40
24,17.8903,93.361,1022,311,62.8455,40
25,20.5982,100.117,984,311,58.7442,40
26,19.4869,94.4221,951,309,62.1632,40
27,26.2504,96.239,907,314,61.0292,40
28,8.20173,105.6,874,315,55.7953,40
29,4.78201,106.773,841,318,55.203,40
30,7.98612,105.079,813,316,56.0626,40
31,3.02054,106.502,772,314,55.339,40
32,2.79897,109.878,729,314,53.6956,40
33,3.18138,114.707,697,311,51.5104,40
34,10.4618,110.335,669,312,53.4809,40
35,5.46153,105.928,632,314,55.6286,40
36,5.91067,120.638,590,313,49.0622,40
37,9.04989,118.43,546,319,49.9454,40
38,4.67409,118.246,506,318,50.0207,40
39,10.9498,111.763,476,320,52.8208,40
40,10.2482,107.962,438,318,54.6157,40
41,9.3425,101.751,401,317,57.8328,40
42,11.7312,111.886,370,316,52.7644,40
43,11.9988,107.42,335,315,54.8821,40
44,15.656,98.8921,305,315,59.4469,40
45,17.8269,92.6328,272,317,63.3226,40
46,15.1573,91.5761,239,317,64.0283,40
47,20.8883,105.754,217,317,55.7169,40
48,21.6195,111.17,185,323,53.0928,40
49,22.5081,105.546,156,321,55.8229,40
50,27.9457,94.8277,138,322,61.9063,40
51,5.8483,90.7101,124,322,64.6186,40
52,8.91329,88.2348,106,323,66.3688,40
53,16.1939,86.3406,90,321,67.7748,40
54,16.9132,87.6272,78,321,66.8133,40
55,19.2737,84.9698,66,321,68.8306,40
