frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,30
1,0,0,0,0,0,30
2,0,0,0,0,0,30
3,0,0,0,0,0,30
4,0,0,0,0,0,30
5,0,0,0,0,0,30
6,0,0,0,0,0,30
7,0,0,0,0,0,30
8,0,0,0,0,0,30
9,0,0,0,0,0,30
10,0,0,0,0,0,30
11,0,0,0,0,0,30
12,0,0,0,0,0,30
13,0,70.0065,1242,326,0,30
14,21.8311,79.0008,1241,325,73.8477,30
15,22.239,91.249,1238,319,64.25,30
16,23.4658,89.763,1230,316,65.2771,30
17,24.9346,88.9872,1220,316,65.8267,30
18,23.8844,91.6622,1212,316,63.9702,30
19,23.2966,92.6473,1206,316,63.3131,30
20,20.3901,94.9284,1201,316,61.8429,30
21,23.3363,83.0452,1194,315,70.3708,30
22,23.6229,80.278,1173,315,72.7126,30
23,5.07806,93.1425,1155,311,62.9879,30
24,0.631295,103.09,1122,310,57.1069,30
25,0.963971,105.991,1084,310,55.5965,30
26,0.646487,74.5238,1061,309,78.1288,30
27,16.1251,90.474,1023,307,64.7815,30
28,22.8136,73.4416,1005,311,79.2405,30
29,26.7433,79.9425,971,312,73.0073,30
30,28.8403,84.0675,956,313,69.5441,30
31,29.0013,95.9443,936,312,61.2103,30
32,29.0167,100.183,889,311,58.7071,30
33,28.9492,102.481,861,314,57.4349,30
34,27.0473,105.347,839,314,55.9248,30
35,29.9169,101.761,815,315,57.827,30
36,9.26888,93.3229,788,314,62.8703,30
37,5.7109,108.084,770,308,54.5563,30
38,4.18041,108.284,727,311,54.4589,30
39,15.5636,113.537,693,310,52.0231,30
40,30.5766,112.356,673,311,52.5512,30
41,16.7034,105.65,647,312,55.77,30
42,5.77348,105.151,617,312,56.0254,30
43,10.9373,105.316,593,310,55.9406,30
44,11.3497,119.147,560,310,49.6552,30
45,8.97154,116.645,519,315,50.6836,30
46,5.07043,113.787,491,316,51.9128,30
47,6.15217,106.707,471,317,55.2363,30
48,7.26524,102.869,440,316,57.2256,30
49,8.22608,102.463,410,314,57.4444,30
50,9.07813,108.721,386,313,54.2476,30
51,7.87673,110.792,354,313,53.2676,30
52,10.7062,107.354,329,312,54.9146,30
53,12.1189,102.296,306,312,57.5349,30
54,21.0178,91.5463,281,314,64.0484,30
55,21.9551,86.6119,255,315,67.5697,30
56,21.9353,90.6677,232,316,64.6478,30
57,24.3373,103.187,214,317,57.0553,30
58,20.2009,112.288,185,321,52.5822,30
59,16.7413,105.106,159,319,56.0486,30
60,23.3048,100.503,142,320,58.5263,30
61,24.5114,93.7303,131,322,62.6063,30
62,25.0527,94.3814,121,322,62.189,30
63,23.6851,89.7558,107,322,65.2821,30
64,22.1149,89.5567,94,321,65.4223,30
65,21.7397,90.1331,82,320,65.0182,30
66,21.3607,90.8429,73,320,64.5274,30
67,20.738,85.0641,61,320,68.7569,30
68,20.2818,78.9083,54,318,73.9314,30
