frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,70
1,0,27.3021,697,349,0,70
2,1.39695,29.3208,699,349,0,70
3,1.45772,28.8124,695,347,0,70
4,1.57394,30.2536,696,346,0,70
5,1.48816,29.6777,700,345,0,70
6,0.426269,27.3329,703,343,205.865,70
7,0.64427,31.5238,706,343,179.365,70
8,0.867023,26.4717,704,343,212.33,70
9,0.907063,27.8655,699,343,202.062,70
10,0.690705,27.7005,704,343,203.225,70
11,0.730245,28.2844,701,343,199.171,70
12,0.666316,32.4226,693,343,174.56,70
13,0.515022,27.5606,695,339,204.222,70
14,0.765569,28.7383,699,340,196.132,70
15,1.63424,27.7894,698,339,202.597,70
16,1.85987,26.0748,703,341,215.451,70
17,2.1141,28.6599,695,344,196.65,70
18,2.19966,24.6442,701,344,227.521,70
19,2.14691,26.5412,703,346,211.793,70
20,2.08963,26.0536,705,348,215.62,70
21,2.00168,27.4629,702,349,204.923,70
22,1.80167,26.2753,699,351,213.863,70
23,1.791,25.1368,698,352,223.212,70
24,1.4587,25.9825,697,353,216.19,70
25,0.930489,27.4936,699,357,204.702,70
26,0.994524,26.8195,698,356,209.67,70
27,0.552664,26.2698,691,355,213.906,70
28,1.70379,25.8057,696,356,217.621,70
29,0.808161,29.281,695,354,192.619,70
30,2.11921,31.2039,697,354,181.142,70
31,2.2897,37.4732,698,356,151.78,70
32,4.45896,35.325,695,359,160.687,70
33,3.60086,36.9503,701,363,153.854,70
34,1.41712,41.7197,701,367,136.83,70
35,0.836235,39.3177,699,367,144.897,70
36,1.11287,39.9142,701,370,142.804,70
37,2.28661,39.391,698,369,144.636,70
38,2.50957,36.433,700,366,155.964,70
39,2.24157,35.9773,698,364,157.872,70
40,2.8401,36.3208,695,362,156.429,70
41,1.86891,37.913,694,360,150.079,70
42,1.49249,39.3755,691,360,144.691,70
43,1.45262,36.2787,691,359,156.605,70
44,1.47385,35.7733,688,358,158.741,70
45,1.45805,36.3784,688,358,156.19,70
46,2.0211,30.2306,689,359,186.772,70
47,1.74711,37.1002,687,356,153.254,70
48,1.72774,38.8778,688,355,146.48,70
49,1.65921,38.5082,688,353,147.838,70
50,2.14508,42.076,688,353,135.711,70
51,1.56569,38.7517,684,349,146.94,70
52,1.73779,36.5671,686,349,155.411,70
53,1.78728,41.2207,684,349,138.43,70
54,1.69867,39.8646,687,347,142.976,70
55,1.72522,41.5273,689,347,137.443,70
56,1.59599,38.5294,683,345,147.759,70
57,1.66327,38.686,682,345,147.181,70
58,1.51531,37.7111,682,344,150.855,70
59,1.62392,39.2082,681,345,145.287,70
60,1.88593,40.9598,680,346,139.282,70
61,1.82509,39.9438,679,347,142.702,70
62,1.67322,40.2074,682,346,141.798,70
63,2.02984,41.8728,677,351,136.347,70
64,2.04656,41.8519,676,350,136.413,70
65,2.08679,43.0684,672,351,132.689,70
66,2.13487,44.8329,671,352,127.641,70
67,1.79381,47.4506,674,351,120.833,70
68,1.82721,44.0426,675,349,129.853,70
69,1.92321,51.2995,671,346,112.065,70
70,1.82937,45.0298,670,348,127.102,70
71,2.15799,51.874,667,348,110.865,70
72,2.4648,45.2358,664,347,126.543,70
73,2.98284,46.1777,659,349,124.049,70
74,2.63846,47.3761,663,349,121.017,70
75,3.11386,49.0837,660,351,116.947,70
76,3.15011,46.968,657,353,122.032,70
77,3.01514,46.0731,658,355,124.321,70
78,2.89073,52.2551,657,356,110.084,70
79,3.0908,53.387,653,357,107.829,70
80,3.02573,55.5404,654,357,103.788,70
81,3.22121,54.7637,652,357,105.21,70
82,3.2799,58.2898,652,355,99.0554,70
83,3.55736,58.8812,648,356,98.0944,70
84,3.5915,65.298,642,357,88.7668,70
85,3.99656,59.0192,634,358,97.8728,70
86,4.0563,65.0753,633,357,89.0602,70
87,4.37682,60.4618,632,357,95.6162,70
88,4.26742,57.576,631,356,100.241,70
89,4.71965,52.5197,629,356,109.549,70
90,4.72617,52.9281,632,355,108.732,70
91,5.16873,47.583,629,356,120.508,70
92,4.76877,41.2156,634,354,138.447,70
93,4.43929,39.5767,632,353,143.98,70
94,1.65395,38.4102,637,352,148.202,70
95,0.602136,37.0174,643,351,153.585,70
96,0.652042,75.8342,650,348,76.8243,70
97,11.2043,78.6176,523,370,74.1954,70
98,11.6543,81.7077,524,370,71.4832,70
99,12.6344,88.3217,516,371,66.3058,70
100,12.4964,159.694,511,376,37.419,70
101,19.2424,166.377,490,421,35.9661,70
102,19.0551,165.27,487,419,36.1988,70
103,22.5313,168.918,476,417,35.4434,70
104,25.1381,170.561,460,416,35.1135,70
105,27.9063,181.017,442,415,33.1525,70
106,32.0627,188.144,425,415,31.9386,70
107,37.0564,214.525,405,416,28.1365,70
108,45.8444,213.609,351,416,28.253,70
109,54.9587,227.023,326,420,26.6389,70
110,2.93882,245.727,288,431,24.6776,70
111,7.18533,256.667,246,435,23.6608,70
112,11.7508,350.891,215,448,17.4926,70
113,15.6965,304.312,176,467,20.0725,70
114,11.6337,276.356,150,443,22.0305,70
115,1.94194,328.1,140,450,18.6649,70
116,1.86007,165.982,98,470,36.0489,70
117,2.50814,21.5331,53,469,259.199,70
118,0.347781,23.0168,661,327,243.041,70
119,0.940851,24.513,660,326,228.696,70
