frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,55
1,0,32.3932,699,319,0,55
2,0.384688,32.5346,695,320,0,55
3,0.413586,31.794,697,320,0,55
4,0.604429,31.0019,696,320,0,55
5,0.564393,29.7296,697,321,0,55
6,0.655055,30.0048,696,320,188.129,55
7,0.560422,29.5916,694,320,190.666,55
8,0.521777,28.8809,693,320,195.196,55
9,0.597027,29.8509,695,320,189.066,55
10,0.534632,29.3197,693,320,192.374,55
11,0.637268,29.9171,693,321,188.662,55
12,0.524847,30.0684,693,321,187.745,55
13,0.555409,30.6028,692,322,184.577,55
14,0.307975,32.903,689,322,172.098,55
15,0.267942,31.952,688,322,177.043,55
16,0.229743,33.4609,688,322,169.326,55
17,0.15743,32.2757,685,321,175.328,55
18,0.259043,31.5271,687,322,179.347,55
19,0.352676,31.2198,688,321,181.052,55
20,0.410183,31.7527,688,321,178.116,55
21,0.388179,31.4326,687,321,179.868,55
22,10.0356,48.1851,688,321,119.053,55
23,3.61253,47.552,636,331,120.584,55
24,13.7202,33.7949,631,332,167.709,55
25,0.649041,34.3164,685,323,165.246,55
26,0.605358,33.3558,684,323,169.841,55
27,0.708204,34.4795,683,323,164.491,55
28,0.892856,34.9005,682,324,162.574,55
29,1.01967,34.7076,681,324,163.447,55
30,1.43821,35.5905,680,324,159.529,55
31,1.69847,35.5191,678,325,159.838,55
32,1.71449,37.3123,678,325,152.412,55
33,1.91437,37.7294,676,326,150.784,55
34,1.99134,36.1928,675,325,156.964,55
35,2.05269,37.0956,673,326,153.272,55
36,2.06277,36.5827,673,326,155.347,55
37,2.03834,37.8402,671,326,150.358,55
38,1.90154,40.0095,669,326,142.476,55
39,1.96258,39.2766,664,326,145.043,55
40,2.44365,41.5048,664,327,137.515,55
41,2.12177,41.4722,660,327,137.619,55
42,2.38755,42.5178,658,327,134.348,55
43,2.7051,43.7297,656,327,130.75,55
44,2.81261,44.4609,655,328,128.673,55
45,2.92362,45.5214,653,328,125.776,55
46,2.64491,46.0705,652,328,124.328,55
47,2.80925,47.3017,650,328,121.2,55
48,3.17294,47.9045,649,328,119.727,55
49,2.80911,46.6599,647,329,122.811,55
50,3.04292,46.2938,646,330,123.748,55
51,3.43704,46.933,645,330,122.12,55
52,3.22982,47.7109,645,331,120.196,55
53,3.49407,46.8978,642,332,122.208,55
54,6.81789,82.7205,639,331,70.6377,55
55,16.4307,89.9799,404,349,65.1251,55
56,9.0113,47.6182,387,353,120.422,55
57,3.72673,48.5349,628,331,118.224,55
58,4.31746,48.7394,624,332,117.745,55
59,4.17211,48.4231,621,332,118.488,55
60,4.37909,48.3648,618,332,118.626,55
61,4.56691,50.9283,614,332,112.853,55
62,4.72708,50.6753,609,333,113.398,55
63,4.92042,49.6067,605,334,115.756,55
64,5.25466,49.9485,602,333,114.991,55
65,5.49702,48.3876,596,333,118.572,55
66,5.77661,50.093,588,335,114.671,55
67,6.04838,51.579,584,334,111.478,55
68,6.17535,51.5751,578,333,111.486,55
69,6.60753,52.8729,572,332,108.842,55
70,6.77324,51.907,566,335,110.797,55
71,7.08271,54.7072,561,335,105.314,55
72,7.37079,63.8265,556,337,90.7428,55
73,7.94632,68.414,531,341,84.8585,55
74,8.48038,69.1244,525,342,84.0159,55
75,8.51922,70.5027,517,342,82.4289,55
76,8.84868,73.0107,513,343,79.6922,55
77,9.68469,72.2274,508,343,80.5268,55
78,10.2077,73.4973,499,344,79.1825,55
79,10.7574,73.2848,490,344,79.4043,55
80,11.3893,73.116,480,345,79.5813,55
81,11.8213,73.2,473,345,79.4931,55
82,12.2127,73.9754,465,345,78.6881,55
83,13.3227,77.6915,452,345,75.0496,55
84,13.7552,79.4911,440,346,73.4077,55
85,15.0144,82.4556,426,347,70.8568,55
86,8.86362,64.6981,415,347,89.5617,55
87,0.0745138,62.7481,1216,326,92.2488,55
88,0.133028,89.1465,1216,326,65.7131,55
89,18.8453,100.135,368,356,58.7342,55
90,19.867,101.683,357,361,57.87,55
91,21.2643,102.142,343,362,57.6187,55
92,22.7546,106.085,322,365,55.5489,55
93,24.3837,103.169,304,370,57.0649,55
94,26.3716,109.868,278,371,53.7005,55
95,28.4682,112.888,254,372,52.3122,55
96,30.4304,134.517,234,372,44.1639,55
97,31.5431,175.914,214,377,34.0809,55
98,34.7013,175.458,181,379,34.1665,55
99,35.9906,169.642,162,382,35.2972,55
100,31.7785,156.392,154,385,38.1819,55
101,0.623189,147.771,140,385,40.3314,55
102,5.34322,156.583,126,383,38.1368,55
103,6.40629,143.419,111,388,41.5129,55
104,4.26358,115.076,90,382,51.3511,55
105,3.43519,93.3878,74,373,62.828,55
106,3.92715,61.1099,74,365,94.6365,55
107,0.070012,64.3113,1215,327,90.082,55
108,0.0127196,64.7109,1215,327,89.5446,55
109,0.0343326,63.1859,1216,327,91.6314,55
